t,pitch_hz,pitch_midi
149.15,323.8716467654323,64
149.16,325.23387320394176,64
149.17,0.0,0
149.18,0.0,0
149.19,0.0,0
149.2,325.9113812366862,64
149.21,325.6364359040241,64
149.22,325.6354493769312,64
149.23,0.0,0
149.24,0.0,0
149.25,0.0,0
149.26,0.0,0
149.27,0.0,0
149.28,0.0,0
149.29,0.0,0
149.3,0.0,0
149.31,0.0,0
149.32,0.0,0
149.33,0.0,0
149.34,0.0,0
149.35,208.9301606997089,56
149.36,212.75765518512426,56
149.37,215.13464401497905,57
149.38,217.84574002860947,57
149.39,218.7865594911385,57
149.4,219.34993664133282,57
149.41,220.22275887207095,57
149.42,221.39789315865278,57
149.43,221.8704015647963,57
149.44,221.3659933563237,57
149.45,220.20991435244858,57
149.46,218.7405936050692,57
149.47,217.28624907158894,57
149.48,215.7649253404233,57
149.49,211.49528109302003,56
149.5,195.02177402058763,55
149.51,160.7723303659677,52
149.52,160.90527166130366,52
149.53,161.0974296090862,52
149.54,161.1665806032202,52
149.55,161.11598581681775,52
149.56,162.7200203452519,52
149.57,163.0609406846978,52
149.58,184.69046564454834,54
149.59,192.34316709062853,55
149.6,200.27938933456733,55
149.61,203.82784511191693,56
149.62,208.8154946073525,56
149.63,214.20190765926384,57
149.64,216.5348608166791,57
149.65,218.11454271536994,57
149.66,219.3611036503507,57
149.67,220.19479787214223,57
149.68,220.55760310366605,57
149.69,220.98916753780844,57
149.7,221.07884602751201,57
149.71,220.53214173001837,57
149.72,219.48263741072697,57
149.73,218.42075033952577,57
149.74,218.21159344082454,57
149.75,218.40138586549054,57
149.76,218.35108794712633,57
149.77,219.29249993161207,57
149.78,221.05544640312218,57
149.79,222.42963036461745,57
149.8,225.93804112904706,57
149.81,234.16335433302362,58
149.82,247.28285748162835,59
149.83,260.3197883443192,60
149.84,287.308931038938,62
149.85,326.51194910806726,64
149.86,334.55753206247704,64
149.87,347.5551840403636,65
149.88,358.93443637855245,65
149.89,364.3789207457188,66
149.9,365.83315274123646,66
149.91,365.0910639016555,66
149.92,363.58203186536645,66
149.93,360.21091183205533,66
149.94,342.8454549192151,65
149.95,332.82937325347984,64
149.96,323.5798232424465,64
149.97,304.94476382285956,63
149.98,293.66639741580804,62
149.99,287.8153900618548,62
150.0,289.19211658156314,62
150.01,294.49411644734664,62
150.02,298.0341153555681,62
150.03,302.53328372361597,63
150.04,308.8982391881854,63
150.05,318.7607103469934,63
150.06,322.62926909040914,64
150.07,325.42718193663455,64
150.08,327.7877036251044,64
150.09,328.63330838880444,64
150.1,328.5480545369673,64
150.11,328.24540519192004,64
150.12,328.44523805282466,64
150.13,329.297057704129,64
150.14,329.7112803646163,64
150.15,329.6186827206756,64
150.16,329.71053409657844,64
150.17,330.0419721108038,64
150.18,330.59592788896896,64
150.19,331.4506538315287,64
150.2,332.58932934855596,64
150.21,334.2065744218766,64
150.22,337.0671266636741,64
150.23,347.3442979548382,65
150.24,359.9755859853012,66
150.25,365.3589294975834,66
150.26,367.05425703729037,66
150.27,365.56473048467126,66
150.28,359.9006697259389,66
150.29,344.17401373936207,65
150.3,329.9058890057738,64
150.31,325.9575600522699,64
150.32,0.0,0
150.33,0.0,0
150.34,0.0,0
150.35,0.0,0
150.36,0.0,0
150.37,0.0,0
150.38,0.0,0
150.39,0.0,0
150.4,0.0,0
150.41,0.0,0
150.42,0.0,0
150.43,318.3881685966169,63
150.44,319.42560499973445,63
150.45,328.6749998262346,64
150.46,332.5711969398375,64
150.47,332.57528042813954,64
150.48,331.4215138455542,64
150.49,329.4392875122901,64
150.5,327.4502617015623,64
150.51,326.3217081690671,64
150.52,324.44555718642624,64
150.53,319.15939670462285,63
150.54,311.0599236873562,63
150.55,303.445219563956,63
150.56,296.30696541413505,62
150.57,292.83859288312283,62
150.58,292.1432446756668,62
150.59,292.46519996630997,62
150.6,292.7050055472268,62
150.61,292.9804213253626,62
150.62,293.744683358625,62
150.63,293.62898487875395,62
150.64,293.33413080339164,62
150.65,293.7727668930742,62
150.66,293.84377435503626,62
150.67,294.34844334769394,62
150.68,294.38976490230425,62
150.69,292.6009747612334,62
150.7,290.0923599200439,62
150.71,285.06143682754526,61
150.72,263.29505747621056,60
150.73,253.7698716380084,59
150.74,0.0,0
150.75,0.0,0
150.76,0.0,0
150.77,0.0,0
150.78,0.0,0
150.79,0.0,0
150.8,0.0,0
150.81,0.0,0
150.82,0.0,0
150.83,0.0,0
150.84,0.0,0
150.85,315.22122393658975,63
150.86,299.2795370316973,62
150.87,293.6424698861219,62
150.88,292.67264885368775,62
150.89,294.0067942156792,62
150.9,294.33562108544305,62
150.91,293.83170623631224,62
150.92,293.63675148825837,62
150.93,293.5008528320025,62
150.94,293.21016099415266,62
150.95,292.797983276793,62
150.96,292.4986590429466,62
150.97,292.6948877869856,62
150.98,293.1513011940086,62
150.99,293.52040271810023,62
151.0,293.6360011577366,62
151.01,293.59277974555323,62
151.02,293.6439404563039,62
151.03,293.77316776324295,62
151.04,293.9263236722218,62
151.05,294.11804265366624,62
151.06,294.2056506019189,62
151.07,294.10213873468155,62
151.08,293.8555955723382,62
151.09,293.4063454587842,62
151.1,292.7200684955219,62
151.11,291.60766430918324,62
151.12,289.56791742231286,62
151.13,286.83816832925993,62
151.14,285.2839899136695,61
151.15,289.7532451529871,62
151.16,0.0,0
151.17,0.0,0
151.18,0.0,0
151.19,0.0,0
151.2,0.0,0
151.21,0.0,0
151.22,0.0,0
151.23,0.0,0
151.24,0.0,0
151.25,0.0,0
151.26,308.170276656955,63
151.27,306.67365015075353,63
151.28,297.4731849063364,62
151.29,297.6157125622251,62
151.3,298.3670556715595,62
151.31,296.88740414118257,62
151.32,295.8017802851002,62
151.33,295.14899568114276,62
151.34,294.5111786620606,62
151.35,293.4675050749465,62
151.36,292.37067422176176,62
151.37,291.893722781669,62
151.38,292.1697553749155,62
151.39,292.9036875477827,62
151.4,293.53817912686236,62
151.41,293.69134047029314,62
151.42,293.6207934451197,62
151.43,293.51634818733964,62
151.44,293.3253732292244,62
151.45,293.3294598892588,62
151.46,293.5455665126586,62
151.47,293.7162496665892,62
151.48,293.77078485395583,62
151.49,293.7810902179056,62
151.5,293.75895819897977,62
151.51,293.6511286271155,62
151.52,293.5923391148728,62
